5.0,[-0.002307842805748805,-0.825406705947292,-0.024760590614884375,-0.6330897880009918,1.7628924605820169]
6.0,[-0.0026053233644537004,-0.6001641850161831,-0.010092702969662545,-0.7555646182784888,1.7729056318265584]
7.0,[0.018974333215737712,-0.22769341967432408,-0.035310006770335654,-0.21800398523434217,1.9923782750603485]
8.0,[-0.0006878053682157769,-0.30254388623992173,0.01338785674912894,0.4695664301834767,1.5628066713751259]
9.0,[-0.0007673861546209081,-0.11529858549389851,0.02731486148377371,0.3594559908985199,1.5778872303988982]
10.0,[5.021168666038041e-5,0.0,-0.0005653551700864531,0.10299838019515542,0.0]
24.0,[8.337034766251841e-5,0.0,-0.0006978832326846411,0.12360506692251266,0.0]
25.0,[4.736951571734001e-5,0.0,-0.0005587352802649548,0.10183687966976623,0.0]
26.0,[0.0,0.0,-0.00042016760441280593,0.0790540373903544,0.0]
27.0,[4.736951571734001e-5,0.0,-0.0005576931509191734,0.1017572988833611,0.0]
28.0,[4.64221254029932e-5,0.0,-0.0005530746231367327,0.10097854404496803,0.0]
29.0,[4.736951571734001e-5,0.0,-0.0005580128951502654,0.10176677278650458,0.0]
30.0,[4.736951571734001e-5,0.0,-0.000557894471360972,0.10174593019958894,0.0]
31.0,[4.736951571734001e-5,0.0,-0.0005580721070449121,0.10177435190901934,0.0]
32.0,[4.736951571734001e-5,0.0,-0.0005580721070449121,0.10177435190901934,0.0]
33.0,[4.8316906031686806e-5,0.0,-0.0005580721070449121,0.10177435190901934,0.0]
34.0,[4.736951571734001e-5,0.0,-0.0005580721070449121,0.1017752992993337,0.0]
35.0,[4.8316906031686806e-5,0.0,-0.0005580839494238414,0.10177435190901934,0.0]
36.0,[4.8316906031686806e-5,0.0,-0.0005580721070449121,0.1017752992993337,0.0]
37.0,[4.736951571734001e-5,0.0,-0.0005580721070449121,0.10177435190901934,0.0]
38.0,[4.736951571734001e-5,0.0,-0.0005580839494238414,0.10177435190901934,0.0]
39.0,[4.736951571734001e-5,0.0,-0.0005580839494238414,0.10177435190901934,0.0]
40.0,[4.8316906031686806e-5,0.0,-0.0005580721070449121,0.10177435190901934,0.0]
41.0,[4.736951571734001e-5,0.0,-0.0005580721070449121,0.1017752992993337,0.0]
42.0,[4.736951571734001e-5,0.0,-0.0005580839494238414,0.1017752992993337,0.0]
43.0,[4.8316906031686806e-5,0.0,-0.0005580721070449121,0.10177435190901934,0.0]
44.0,[4.736951571734001e-5,0.0,-0.0005580721070449121,0.10177435190901934,0.0]
45.0,[4.736951571734001e-5,0.0,-0.0005580721070449121,0.10177435190901934,0.0]
46.0,[4.64221254029932e-5,0.0,-0.0005580721070449121,0.1017752992993337,0.0]
47.0,[8.526512829121201e-5,0.0,-0.0007031767760660539,0.12440466434782137,0.0]
48.0,[4.64221254029932e-5,0.0,-0.0005585339598231561,0.10180182622813541,0.0]
49.0,[0.0,0.0,-0.00042034524009674595,0.07908340649009914,0.0]
50.0,[4.8316906031686806e-5,0.0,-0.000557681308540244,0.10175635149304676,0.0]
51.0,[8.337034766251841e-5,0.0,-0.0006981319226421572,0.12364296253508654,0.0]
52.0,[8.431773797686522e-5,0.0,-0.00070360310170751,0.12441792781222222,0.0]
53.0,[9.473903143468001e-7,0.0,-0.00042058208767533267,0.07908530127072784,0.0]
54.0,[0.0,0.0,-0.0004200018111077952,0.07906066912255481,0.0]
55.0,[4.64221254029932e-5,0.0,-0.0005526956670109939,0.10096054362899545,0.0]
56.0,[8.242295734817161e-5,0.0,-0.0006980608683685812,0.12363538341257176,0.0]
57.0,[4.8316906031686806e-5,0.0,-0.0005582852698656401,0.10176487800587589,0.0]
58.0,[9.473903143468001e-7,0.0,-0.00042017944679173524,0.0790540373903544,0.0]
59.0,[8.337034766251841e-5,0.0,-0.0007027622928035271,0.12438950610279181,0.0]
60.0,[7.958078640513121e-5,0.0,-0.0006986056177993305,0.12366096295105912,0.0]
134.0,[0.00010610771520684162,0.0,-0.000855185552002998,0.14683034047872448,0.0]
135.0,[0.00010610771520684162,0.0,-0.0008556355624023126,0.14683318264966752,0.0]
136.0,[5.021168666038041e-5,0.0,-0.000569310524648851,0.10346639101044273,0.0]
137.0,[5.1159076974727207e-5,0.0,-0.0005684578733659389,0.10342186366566844,0.0]
138.0,[4.736951571734001e-5,0.0,-0.0005585931717178028,0.10185203791479579,0.0]
139.0,[4.9264296346033604e-5,0.0,-0.0005584747479285095,0.1018359322794519,0.0]
140.0,[-1.8947806286936002e-6,0.0,-0.00041539512570428394,0.07824686084253092,0.0]
141.0,[4.736951571734001e-5,0.0,-0.000557645781403456,0.10175066715116068,0.0]
142.0,[8.242295734817161e-5,0.0,-0.0006979187598214291,0.12361454082565614,0.0]
143.0,[4.64221254029932e-5,0.0,-0.0005584629055495801,0.10179329971530629,0.0]
144.0,[5.021168666038041e-5,0.0,-0.0005629630095427274,0.10255500152804112,0.0]
145.0,[4.736951571734001e-5,0.0,-0.0005581431613184881,0.10178287842184847,0.0]
146.0,[4.64221254029932e-5,0.0,-0.0005582497427288521,0.10180466839907845,0.0]
147.0,[8.526512829121201e-5,0.0,-0.0007031886184449831,0.1244056117381357,0.0]
148.0,[4.8316906031686806e-5,0.0,-0.0005585339598231561,0.10180277361844975,0.0]
149.0,[0.0,0.0,-0.00042036892485460464,0.07908340649009914,0.0]
150.0,[8.337034766251841e-5,0.0,-0.0007027622928035271,0.12439234827373485,0.0]
151.0,[7.958078640513121e-5,0.0,-0.0006986766720729065,0.12366569990263086,0.0]
152.0,[4.9264296346033604e-5,0.0,-0.0005635669708681235,0.10260237104375845,0.0]
153.0,[0.0,0.0,-0.00042025050106531125,0.07906256390318352,0.0]
154.0,[4.8316906031686806e-5,0.0,-0.0005578826289820427,0.1017857205927915,0.0]
155.0,[8.431773797686522e-5,0.0,-0.0006981082378842984,0.1236401203641435,0.0]
156.0,[4.736951571734001e-5,0.0,-0.0005584629055495801,0.10179329971530629,0.0]
157.0,[5.021168666038041e-5,0.0,-0.0005629985366795154,0.1025568963086698,0.0]
158.0,[8.337034766251841e-5,0.0,-0.0007032596727185592,0.12441319086065049,0.0]
159.0,[0.00010610771520684162,0.0,-0.0008502235952316066,0.14612263991390742,0.0]
160.0,[0.00010610771520684162,0.0,-0.0008557658285705354,0.1468511830656401,0.0]
161.0,[4.64221254029932e-5,0.0,-0.000569097361828123,0.10343702191069798,0.0]
162.0,[5.2106467289074005e-5,0.0,-0.0005684578733659389,0.10342565322692582,0.0]
163.0,[4.8316906031686806e-5,0.0,-0.0005585694869599441,0.10185109052448144,0.0]
164.0,[-1.8947806286936002e-6,0.0,-0.0004157385546932346,0.07830654643233477,0.0]
165.0,[-1.8947806286936002e-6,0.0,-0.0004149806424417572,0.07821370218152877,0.0]
166.0,[-6.631732200427601e-5,0.0,-0.0002710009994189022,0.05294774988821396,0.0]
167.0,[-3.7895612573872004e-6,0.0,-0.0004094147243449697,0.07731368138289932,0.0]
168.0,[4.5474735088646405e-5,0.0,-0.0005469521132302665,0.10004536458533644,0.0]
169.0,[4.64221254029932e-5,0.0,-0.0005525772432217007,0.1009008580391916,0.0]
170.0,[-1.8947806286936002e-6,0.0,-0.0004149214305471105,0.07816917483675448,0.0]
171.0,[-6.442254137558241e-5,0.0,-0.00027569058147491887,0.0537966116098687,0.0]
172.0,[-4.736951571734001e-6,0.0,-0.0004094739362396164,0.0773193657247854,0.0]
173.0,[4.5474735088646405e-5,0.0,-0.0005472008031877825,0.10007378629476685,0.0]
174.0,[4.64221254029932e-5,0.0,-0.0005525772432217007,0.10090180542950594,0.0]
175.0,[-1.8947806286936002e-6,0.0,-0.0004149332729260399,0.07817012222706883,0.0]
176.0,[-1.8947806286936002e-6,0.0,-0.0004147437948631705,0.0781777013495836,0.0]
177.0,[4.64221254029932e-5,0.0,-0.0005524114499166899,0.10092170062610722,0.0]
178.0,[7.105427357601e-5,0.0,-0.0005531693621681674,0.10092549018736462,0.0]
179.0,[4.8316906031686806e-5,0.0,-0.0005578352594663254,0.10173645629644548,0.0]
180.0,[4.64221254029932e-5,0.0,-0.0005578707866031134,0.10174403541896025,0.0]
181.0,[4.736951571734001e-5,0.0,-0.0005580721070449121,0.1017752992993337,0.0]
182.0,[4.8316906031686806e-5,0.0,-0.0005580602646659827,0.10177435190901934,0.0]
183.0,[4.736951571734001e-5,0.0,-0.0005580721070449121,0.1017752992993337,0.0]
184.0,[4.8316906031686806e-5,0.0,-0.0005580721070449121,0.10177435190901934,0.0]
185.0,[4.64221254029932e-5,0.0,-0.0005580721070449121,0.10177435190901934,0.0]
186.0,[4.8316906031686806e-5,0.0,-0.0005580957918027707,0.10177340451870501,0.0]
187.0,[4.736951571734001e-5,0.0,-0.0005580839494238414,0.1017752992993337,0.0]
188.0,[4.736951571734001e-5,0.0,-0.0005580839494238414,0.10177435190901934,0.0]
189.0,[4.8316906031686806e-5,0.0,-0.0005580839494238414,0.10177435190901934,0.0]
190.0,[4.64221254029932e-5,0.0,-0.0005580839494238414,0.10177435190901934,0.0]
191.0,[4.8316906031686806e-5,0.0,-0.0005580721070449121,0.10177435190901934,0.0]
192.0,[4.736951571734001e-5,0.0,-0.0005580721070449121,0.1017752992993337,0.0]
193.0,[8.526512829121201e-5,0.0,-0.0007031649336871245,0.12440466434782137,0.0]
194.0,[8.337034766251841e-5,0.0,-0.000703638628844298,0.12442645432505134,0.0]
195.0,[-9.473903143468001e-7,0.0,-0.00042078340811713133,0.07911561776078693,0.0]
196.0,[9.473903143468001e-7,0.0,-0.0004200018111077952,0.07906066912255481,0.0]
197.0,[4.5474735088646405e-5,0.0,-0.0005527075093899233,0.10096243840962414,0.0]
198.0,[7.958078640513121e-5,0.0,-0.0006980727107475104,0.1236382255835148,0.0]
199.0,[4.8316906031686806e-5,0.0,-0.0005582852698656401,0.10176487800587589,0.0]
200.0,[-1.8947806286936002e-6,0.0,-0.0004201912891706646,0.0790540373903544,0.0]
201.0,[4.736951571734001e-5,0.0,-0.000557681308540244,0.10175445671241806,0.0]
202.0,[8.147556703382482e-5,0.0,-0.0006980963955053692,0.12364296253508654,0.0]
203.0,[8.431773797686522e-5,0.0,-0.0007035912593285806,0.12441792781222222,0.0]
204.0,[0.0,0.0,-0.000420593930054262,0.07908435388041349,0.0]
205.0,[9.473903143468001e-7,0.0,-0.0004199899687288659,0.07906066912255481,0.0]
206.0,[8.147556703382482e-5,0.0,-0.0006977055970007011,0.12362780429005699,0.0]
207.0,[8.242295734817161e-5,0.0,-0.0006985345635257545,0.12366001556074478,0.0]
208.0,[1.8947806286936002e-6,0.0,-0.000420522875780686,0.07907772214821306,0.0]
209.0,[0.0,0.0,-0.00041983601780278457,0.07903035263249572,0.0]
210.0,[8.242295734817161e-5,0.0,-0.0006976937546217717,0.12362780429005699,0.0]
211.0,[8.621251860555881e-5,0.0,-0.0006984990363889665,0.12365338382854435,0.0]
212.0,[4.9264296346033604e-5,0.0,-0.0005633893351841834,0.1025748967246424,0.0]
213.0,[4.9264296346033604e-5,0.0,-0.0005630459061952328,0.10256447543118458,0.0]
214.0,[4.736951571734001e-5,0.0,-0.0005583207970024281,0.10181224752159322,0.0]
215.0,[4.736951571734001e-5,0.0,-0.0005582734274867107,0.1018037210087641,0.0]
216.0,[4.736951571734001e-5,0.0,-0.0005580839494238414,0.10177624668964805,0.0]
217.0,[4.736951571734001e-5,0.0,-0.0005580957918027707,0.10177624668964805,0.0]
218.0,[4.8316906031686806e-5,0.0,-0.0005580721070449121,0.1017752992993337,0.0]
219.0,[4.8316906031686806e-5,0.0,-0.0005580839494238414,0.1017752992993337,0.0]
220.0,[8.526512829121201e-5,0.0,-0.0007031767760660539,0.1244056117381357,0.0]
221.0,[8.431773797686522e-5,0.0,-0.0007036504712232272,0.12442550693473699,0.0]
222.0,[0.0,0.0,-0.0004207597233592727,0.07911561776078693,0.0]
223.0,[4.8316906031686806e-5,0.0,-0.0005627972162377167,0.10256637021181328,0.0]
224.0,[9.0002079862946e-5,0.0,-0.0006981200802632278,0.12365243643823,0.0]
225.0,[4.736951571734001e-5,0.0,-0.0005586405412335201,0.1018217214247367,0.0]
226.0,[4.736951571734001e-5,0.0,-0.0005629985366795154,0.10255784369898416,0.0]
227.0,[4.8316906031686806e-5,0.0,-0.0005581313189395587,0.10178382581216282,0.0]
228.0,[8.337034766251841e-5,0.0,-0.0007033544117499939,0.12443403344756611,0.0]
229.0,[8.337034766251841e-5,0.0,-0.000703674155981086,0.12442645432505134,0.0]
230.0,[-9.473903143468001e-7,0.0,-0.0004207597233592727,0.07911656515110128,0.0]
231.0,[5.021168666038041e-5,0.0,-0.0005627853738587874,0.10256731760212762,0.0]
232.0,[8.905468954859921e-5,0.0,-0.0006982621888103798,0.1236543312188587,0.0]
233.0,[4.9264296346033604e-5,0.0,-0.0005586642259913788,0.10182266881505103,0.0]
234.0,[4.9264296346033604e-5,0.0,-0.0005630103790584448,0.1025568963086698,0.0]
235.0,[4.8316906031686806e-5,0.0,-0.0005581550036974174,0.10178287842184847,0.0]
236.0,[4.8316906031686806e-5,0.0,-0.0005582497427288521,0.10180182622813541,0.0]
237.0,[4.8316906031686806e-5,0.0,-0.0005580839494238414,0.10177624668964805,0.0]
238.0,[4.8316906031686806e-5,0.0,-0.0005580721070449121,0.1017752992993337,0.0]
239.0,[4.736951571734001e-5,0.0,-0.0005580839494238414,0.1017752992993337,0.0]
240.0,[4.8316906031686806e-5,0.0,-0.0005580721070449121,0.1017752992993337,0.0]
