4.0,[-0.00018189894035458562,-0.9570759592255247,-0.03689111830832796,0.14101620611957816,1.5930766039673472]
5.0,[-0.00025390060424494243,-0.7596753448524395,-0.023616770761236694,0.16000475019003108,1.5930770099917675]
6.0,[0.030632918424089436,-0.4705941118269644,-0.047623593957268895,-0.23125797573205392,1.8283580110229585]
7.0,[-0.0003041122909053228,-0.3688654715006123,0.0029054803007966257,0.29837773733258166,1.5856632070868466]
8.0,[-0.0004812742796881745,-0.1603749429553621,0.01637500209502226,0.17627807361956604,1.6020091412169026]
9.0,[0.00020084674664152163,-5.4474943074941e-6,5.956716601455507e-6,0.11886716796046431,0.0023362645151792094]
10.0,[6.53699316899292e-5,0.0,4.3935225827832864e-6,0.08621157121524446,0.0]
11.0,[7.294905420470361e-5,0.0,2.297421512290991e-6,0.08868047037443222,0.0]
12.0,[0.00024347931078712762,0.0,-8.297954915785037e-5,0.1436527933644053,0.0]
13.0,[0.00016200374375330282,0.0,-3.287444390783397e-5,0.1157919390000946,0.0]
14.0,[7.67386154620908e-5,0.0,4.618527782440651e-7,0.08992439385716958,0.0]
15.0,[0.00016674069532503683,0.0,-3.380999184325144e-5,0.11696575559957029,0.0]
16.0,[0.00016105635343895602,0.0,-3.240074875066057e-5,0.11581467636763892,0.0]
17.0,[0.00016579330501069003,0.0,-3.446132268436486e-5,0.11704817855691846,0.0]
18.0,[0.00016389852438199642,0.0,-3.4402110789718186e-5,0.11700459860245851,0.0]
19.0,[0.00016579330501069003,0.0,-3.452053457901154e-5,0.11706428419226236,0.0]
20.0,[0.00016579330501069003,0.0,-3.452053457901154e-5,0.11706238941163366,0.0]
21.0,[0.00016579330501069003,0.0,-3.453237695794087e-5,0.1170652315825767,0.0]
22.0,[0.00016484591469634322,0.0,-3.452053457901154e-5,0.1170652315825767,0.0]
23.0,[0.00016579330501069003,0.0,-3.453237695794087e-5,0.1170652315825767,0.0]
24.0,[0.00016389852438199642,0.0,-3.453237695794087e-5,0.11706617897289105,0.0]
25.0,[0.00016579330501069003,0.0,-3.453237695794087e-5,0.1170652315825767,0.0]
26.0,[0.00016579330501069003,0.0,-3.452053457901154e-5,0.11706617897289105,0.0]
27.0,[0.00016579330501069003,0.0,-3.452053457901154e-5,0.11706428419226236,0.0]
28.0,[0.00024632148173016805,0.0,-8.705332750954162e-5,0.14510987966787067,0.0]
29.0,[0.0002472688720445148,0.0,-8.785860927673639e-5,0.14515724918358802,0.0]
30.0,[7.958078640513121e-5,0.0,-1.5395092608135505e-7,0.09006081806243552,0.0]
31.0,[7.768600577643761e-5,0.0,8.289665250534503e-7,0.08997081598257256,0.0]
32.0,[0.00024347931078712762,0.0,-8.346508669395311e-5,0.1438489031594751,0.0]
33.0,[0.00024347931078712762,0.0,-8.493354168119065e-5,0.14391522048147937,0.0]
34.0,[0.00016863547595373044,0.0,-3.729165124847593e-5,0.11834610328757358,0.0]
35.0,[0.00017053025658242402,0.0,-3.674690181772652e-5,0.11832336592002926,0.0]
36.0,[0.00016674069532503683,0.0,-3.467448550509289e-5,0.11714102280772445,0.0]
37.0,[0.00024916365267320845,0.0,-8.719543605669364e-5,0.1451705126479889,0.0]
38.0,[0.0002472688720445148,0.0,-8.787045165566573e-5,0.14516009135453106,0.0]
39.0,[0.00016863547595373044,0.0,-3.7469286932415954e-5,0.11842473668366436,0.0]
40.0,[0.00016863547595373044,0.0,-3.686532560701987e-5,0.11838684107109049,0.0]
41.0,[0.00016579330501069003,0.0,-3.4686327884022226e-5,0.11714575975929618,0.0]
42.0,[0.0002472688720445148,0.0,-8.719543605669364e-5,0.14517430220924626,0.0]
43.0,[0.0002472688720445148,0.0,-8.787045165566573e-5,0.14516198613515977,0.0]
44.0,[0.00017053025658242402,0.0,-3.745744455348662e-5,0.11842568407397872,0.0]
45.0,[0.00016958286626807723,0.0,-3.6841640849161195e-5,0.11838589368077615,0.0]
46.0,[0.00016674069532503683,0.0,-3.4698170262951564e-5,0.11714481236898183,0.0]
47.0,[0.0002472688720445148,0.0,-8.720727843562297e-5,0.14517430220924626,0.0]
48.0,[0.00016579330501069003,0.0,-3.5183707799054296e-5,0.11712112761112317,0.0]
49.0,[0.00016958286626807723,0.0,-3.680611371237319e-5,0.11837452499700399,0.0]
50.0,[0.00024821626235886163,0.0,-8.712438178311763e-5,0.14512503791290024,0.0]
51.0,[0.00016579330501069003,0.0,-3.530213158834765e-5,0.11717986581061267,0.0]
52.0,[0.00016958286626807723,0.0,-3.680611371237319e-5,0.11837263021637529,0.0]
53.0,[0.00016484591469634322,0.0,-3.457974647365821e-5,0.11708417938886365,0.0]
54.0,[0.00016579330501069003,0.0,-3.4638958368304884e-5,0.11712870673363794,0.0]
55.0,[0.00016579330501069003,0.0,-3.453237695794087e-5,0.11706807375351974,0.0]
56.0,[0.00016674069532503683,0.0,-3.452053457901154e-5,0.11706902114383409,0.0]
57.0,[0.00016579330501069003,0.0,-3.4544219336870206e-5,0.1170652315825767,0.0]
58.0,[0.00016579330501069003,0.0,-3.452053457901154e-5,0.11706428419226236,0.0]
59.0,[0.00016579330501069003,0.0,-3.452053457901154e-5,0.1170652315825767,0.0]
